Rank,Title,Username,Rating,Score,Performance,Team
648,,mariana_lobo,1758,0,,
649,,ricardolsen02,1757,0,,
650,,noobster16,1756,0,,
651,,juegueton1,1756,0,,
652,,visionj,1749,0,,
653,,karma210,1741,0,,
654,,MiloGarrido,1738,0,,
655,,ElMonoSapien,1737,0,,
656,,theMasterZero,1732,0,,
657,,EnriqueGarciaM,1726,0,,
658,,mgarciaortega,1722,0,,
659,,SOGT,1712,0,,
660,,navajon,908,0,1712,
661,,PRD402,1705,0,1712,
662,,Ysraelmos,1710,0,,
663,,horseaz,1707,0,,
664,,elchinooficial,1707,0,,
665,,Lmvillegas,1706,0,,
666,,danny739dc,1705,0,,
667,,SilksongMate,1704,0,,
668,,Chrischess98,1699,0,,
669,,Papesploto,1691,0,,
670,,juanvanp,1690,0,,
671,,cocinash,1689,0,,
672,,reymidas21,1688,0,,
673,,Roberto150123,1682,0,,
674,,Javier_1,1680,0,,
675,,Cherrescake,1994,0,1673,
676,,Tr3xxx,1670,0,,
677,,Pillow_Dub,1669,0,,
678,,davidvallop1982,1668,0,,
679,,Xkeletor,1667,0,,
680,,Valdor_abe,1666,0,,
681,,jlbosch,1666,0,,
682,,feiyo,1660,0,,
683,,Ovejero,1651,0,,
684,,AaronG25,1646,0,,
685,,lolonunes04,1643,0,,
686,,DavidSanabria,1643,0,,
687,,Perini2006,1641,0,,
688,,Fonsy34,1638,0,,
689,,alexisvelasquezu,1638,0,,
690,,Oliver331,1638,0,,
691,,albertocastro,1630,0,,
692,,Cuatico23,1628,0,,
693,,gonziii3014,1624,0,,
694,,BobyFisher2021,1621,0,,
695,,gaeltercersemestre,1618,0,,
696,,jcalvarezv,1618,0,,
697,,KomenKo,1611,0,,
698,,pablinnahuelgarcia23,2165,0,1610,
699,,eaglepablo,1609,0,,
700,,alonsotaku,1607,0,,
701,,LuCaS200819,1607,0,,
702,,VEGETTA7777,1603,0,,
703,,fer_conesa,1595,0,,
704,,B61212757ESTEFANO,1594,0,,
705,,jimmy4,1585,0,,
706,,ChristianPaez,1583,0,,
707,,AdidCSS,1577,0,,
708,,CesarVega,1572,0,,
709,,Neryy11,1571,0,,
710,,Rafaelfranklin,1571,0,,
711,,carlosagurcia,1566,0,,
712,,Rjrafael,1566,0,,
713,,AdrianChess01,1565,0,,
714,,Pazyalegria,1559,0,,
715,,CarlosSilvaRCC,1554,0,,
716,,fuket,1552,0,,
